CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;28;21;14;66;54;8;39
01:00;55;67;2;205;180;20;86
02:00;55;65;2;203;172;18;82
03:00;50;59;2;154;133;11;67
04:00;47;55;4;136;114;8;58
05:00;44;57;6;130;113;6;54
06:00;45;55;7;123;103;13;66
07:00;40;51;13;86;77;12;58
08:00;37;45;16;85;65;11;54
09:00;39;43;17;78;61;12;58
10:00;38;45;16;78;63;13;59
11:00;34;42;20;76;64;12;53
12:00;37;47;19;81;65;20;68
13:00;37;;26;76;63;17;62
14:00;43;45;26;71;59;18;71
15:00;36;26;27;46;39;15;59
16:00;37;18;21;47;40;15;60
17:00;33;17;19;46;40;16;57
18:00;;;18;51;38;;
19:00;32;18;;58;46;15;56
20:00;33;19;12;58;47;14;56
21:00;32;21;13;52;50;14;54
22:00;31;21;13;54;46;11;49
23:00;30;20;13;65;51;14;52
